행정구역,2008년_계_0~4세,2009년_계_0~4세,2010년_계_0~4세,2011년_계_0~4세,2012년_계_0~4세,2013년_계_0~4세,2014년_계_0~4세,2015년_계_0~4세,2016년_계_0~4세,2017년_계_0~4세,2018년_계_0~4세,2019년_계_0~4세,2020년_계_0~4세,2021년_계_0~4세,2022년_계_0~4세,2023년_계_0~4세
대구광역시  (2700000000),"103,976","102,104","102,583","103,704","103,360","102,513","102,401","101,327","99,198","93,774","89,103","82,807","74,200","66,357","61,222","57,587"
대구광역시 중구 (2711000000),"2,663","2,681","2,584","2,508","2,404","2,536","2,857","3,089","3,009","2,973","2,958","2,717","2,384","2,195","2,522","3,111"
대구광역시 동구 (2714000000),"13,756","13,687","14,392","15,132","15,186","15,211","15,892","15,747","15,331","14,189","13,727","12,494","11,024","10,110","9,382","9,155"
대구광역시 서구 (2717000000),"6,861","6,464","6,333","6,576","6,817","6,602","6,431","6,156","5,594","4,864","4,296","3,652","3,048","2,514","2,261","2,720"
대구광역시 남구 (2720000000),"5,937","5,514","5,190","5,179","5,246","5,091","5,019","4,898","4,352","3,883","3,473","3,285","2,949","2,616","2,512","2,385"
대구광역시 북구 (2723000000),"24,222","22,658","22,023","21,780","21,242","20,358","20,349","20,092","19,186","18,055","17,027","15,780","14,470","12,859","11,454","9,845"
대구광역시 수성구 (2726000000),"16,052","16,007","16,026","15,931","15,678","15,734","15,397","15,099","14,279","13,069","12,230","11,452","10,360","9,497","8,839","8,269"
대구광역시 달서구 (2729000000),"24,942","25,164","26,028","26,490","26,353","26,853","26,403","25,684","24,116","21,426","19,935","18,412","16,116","13,834","12,689","11,546"
대구광역시 달성군 (2771000000),"9,543","9,929","10,007","10,108","10,434","10,128","10,053","10,562","13,331","15,315","15,457","15,015","13,849","12,732","11,563","10,279"
대구광역시 군위군 (2772000000),,,,,,,,,,,,,,0,0,277
