행정구역,2008년_계_0~4세,2009년_계_0~4세,2010년_계_0~4세,2011년_계_0~4세,2012년_계_0~4세,2013년_계_0~4세,2014년_계_0~4세,2015년_계_0~4세,2016년_계_0~4세,2017년_계_0~4세,2018년_계_0~4세,2019년_계_0~4세,2020년_계_0~4세,2021년_계_0~4세,2022년_계_0~4세,2023년_계_0~4세
부산광역시  (2600000000),"129,106","126,694","128,670","131,652","132,653","133,204","134,814","134,998","132,044","123,780","117,093","107,963","97,374","87,778","81,272","75,360"
부산광역시 중구 (2611000000),"1,350","1,285","1,309","1,299","1,264","1,239","1,214","1,118","1,036",900,786,641,526,423,372,313
부산광역시 서구 (2614000000),"3,671","3,320","3,232","3,227","3,115","3,043","3,116","3,055","2,904","2,696","2,726","2,456","2,315","2,081","2,026","1,897"
부산광역시 동구 (2617000000),"2,868","2,805","2,769","2,881","2,829","2,689","2,532","2,385","2,220","2,092","1,921","1,940","1,854","1,744","1,682","1,876"
부산광역시 영도구 (2620000000),"4,456","4,207","4,191","4,184","3,965","3,773","3,635","3,444","3,220","2,946","2,698","2,415","2,039","1,856","1,754","1,690"
부산광역시 부산진구 (2623000000),"15,022","14,611","14,420","14,841","14,943","14,741","14,554","13,873","13,258","12,292","11,291","10,177","9,349","8,466","8,417","8,368"
부산광역시 동래구 (2626000000),"9,577","9,411","9,510","9,910","9,626","9,387","9,564","9,375","9,501","8,840","8,293","8,514","7,913","7,121","7,368","6,791"
부산광역시 남구 (2629000000),"11,386","11,231","11,190","11,200","10,834","10,974","10,649","10,169","9,486","8,602","9,043","8,279","7,042","6,149","5,292","4,997"
부산광역시 북구 (2632000000),"12,359","11,748","11,397","11,373","12,101","11,872","11,754","12,267","12,260","11,282","10,357","9,399","8,158","7,576","7,088","6,462"
부산광역시 해운대구 (2635000000),"17,547","17,119","17,070","17,250","17,275","16,870","16,840","16,591","15,827","14,267","13,359","12,464","11,277","10,305","9,327","8,488"
부산광역시 사하구 (2638000000),"14,726","14,246","14,397","14,762","14,797","14,585","14,164","13,526","12,825","11,905","10,993","9,693","8,191","7,217","6,572","5,969"
부산광역시 금정구 (2641000000),"7,776","7,388","7,734","7,884","8,181","8,083","7,947","7,654","7,256","7,047","6,686","6,014","5,126","4,583","3,970","3,586"
부산광역시 강서구 (2644000000),"1,394","2,345","2,660","2,993","3,231","3,917","5,218","7,248","8,908","9,615","9,811","9,518","9,310","8,459","7,482","6,517"
부산광역시 연제구 (2647000000),"7,874","7,698","7,870","8,067","7,946","7,690","7,693","8,022","7,741","7,536","7,411","7,116","6,448","5,788","5,228","5,078"
부산광역시 수영구 (2650000000),"6,069","6,080","5,910","5,991","5,918","5,757","6,004","6,138","6,041","5,874","5,305","5,008","4,628","4,250","4,092","3,765"
부산광역시 사상구 (2653000000),"9,811","9,264","9,746","9,784","9,772","9,578","9,631","9,287","8,728","7,846","7,061","6,201","5,203","4,551","4,028","3,781"
부산광역시 기장군 (2671000000),"3,220","3,936","5,265","6,006","6,856","9,006","10,299","10,846","10,833","10,040","9,352","8,128","7,995","7,209","6,574","5,782"
