행정구역,2008년_계_0~4세,2009년_계_0~4세,2010년_계_0~4세,2011년_계_0~4세,2012년_계_0~4세,2013년_계_0~4세,2014년_계_0~4세,2015년_계_0~4세,2016년_계_0~4세,2017년_계_0~4세,2018년_계_0~4세,2019년_계_0~4세,2020년_계_0~4세,2021년_계_0~4세,2022년_계_0~4세,2023년_계_0~4세
서울특별시  (1100000000),"433,921","425,206","425,291","423,159","417,106","408,757","404,369","393,903","376,575","350,277","324,470","300,799","270,481","244,538","227,619","213,014"
서울특별시 종로구 (1111000000),"5,557","5,317","5,202","5,063","4,904","4,556","4,445","4,353","4,256","4,111","3,873","3,540","3,080","2,720","2,512","2,342"
서울특별시 중구 (1114000000),"4,996","4,806","4,883","5,033","5,019","4,769","4,582","4,295","4,242","4,139","3,893","3,693","3,281","2,927","2,789","2,687"
서울특별시 용산구 (1117000000),"10,003","9,879","9,832","10,033","9,799","9,378","8,981","8,796","8,286","7,545","7,154","6,808","6,298","5,805","5,498","5,068"
서울특별시 성동구 (1120000000),"14,735","13,714","13,283","12,626","12,446","12,470","12,311","12,501","12,487","12,448","12,124","11,181","10,061","9,179","8,637","7,856"
서울특별시 광진구 (1121500000),"15,308","14,643","14,499","14,192","14,074","13,805","13,475","13,118","12,690","11,888","11,122","9,873","8,351","7,338","6,764","6,290"
서울특별시 동대문구 (1123000000),"14,798","14,126","14,064","14,131","13,770","13,747","13,752","13,243","12,510","11,510","11,083","10,467","9,517","8,705","8,143","7,940"
서울특별시 중랑구 (1126000000),"17,183","16,540","16,428","16,248","15,984","15,738","16,148","15,749","15,059","14,058","12,808","11,768","10,531","9,422","9,108","8,519"
서울특별시 성북구 (1129000000),"21,761","21,425","21,891","21,424","20,490","19,786","18,612","17,930","16,651","15,397","14,022","13,663","12,220","11,266","10,629","9,796"
서울특별시 강북구 (1130500000),"13,288","12,912","13,143","13,188","13,135","12,673","12,080","11,300","10,504","9,618","8,589","7,679","6,615","5,696","5,071","4,546"
서울특별시 도봉구 (1132000000),"14,977","14,420","14,235","14,144","13,885","13,390","13,069","12,693","12,127","11,062","10,250","9,127","7,915","6,885","6,202","5,568"
서울특별시 노원구 (1135000000),"27,520","25,985","25,386","24,725","24,116","23,168","22,511","21,728","20,951","18,984","17,146","15,274","13,503","12,124","11,250","10,622"
서울특별시 은평구 (1138000000),"19,035","19,257","20,666","21,059","21,512","21,228","20,230","19,482","18,242","16,630","15,508","14,303","12,839","11,533","10,822","10,135"
서울특별시 서대문구 (1141000000),"13,629","12,962","12,554","11,683","11,772","11,747","11,241","11,481","11,403","10,768","10,152","9,450","9,060","8,062","7,815","7,339"
서울특별시 마포구 (1144000000),"18,429","17,786","18,086","17,682","16,802","16,063","16,064","16,024","15,560","14,479","13,805","12,847","11,503","10,313","9,336","8,692"
서울특별시 양천구 (1147000000),"19,983","19,250","18,721","19,168","18,688","18,112","17,776","17,760","17,173","15,993","14,651","13,156","11,923","10,678","9,728","8,991"
서울특별시 강서구 (1150000000),"27,892","26,960","26,260","25,503","25,267","25,281","26,856","26,848","26,646","25,101","23,000","20,648","17,481","15,619","14,350","13,345"
서울특별시 구로구 (1153000000),"21,213","21,059","21,063","21,910","21,841","21,110","20,865","20,135","18,790","16,873","15,019","14,397","12,869","11,574","10,971","10,031"
서울특별시 금천구 (1154500000),"10,171","9,603","9,332","9,150","9,118","8,878","8,672","8,537","8,311","7,786","7,330","6,624","5,775","5,245","4,899","4,480"
서울특별시 영등포구 (1156000000),"19,865","19,037","18,693","17,916","17,131","16,537","15,930","15,705","15,068","14,330","13,611","12,883","12,788","11,775","11,077","10,377"
서울특별시 동작구 (1159000000),"17,759","17,184","17,067","17,115","17,153","17,174","16,870","16,231","15,718","14,515","13,499","12,473","10,942","9,868","9,021","8,463"
서울특별시 관악구 (1162000000),"22,467","21,477","20,709","20,105","19,545","18,706","18,174","17,552","16,370","14,858","13,371","11,775","9,898","8,520","7,766","7,080"
서울특별시 서초구 (1165000000),"16,318","17,549","18,304","18,506","19,112","20,154","21,001","20,249","19,148","17,234","15,858","14,693","13,125","11,980","10,886","10,409"
서울특별시 강남구 (1168000000),"18,858","19,393","20,582","21,316","21,299","20,845","21,867","21,816","20,235","18,281","16,438","15,369","13,621","12,363","11,486","12,030"
서울특별시 송파구 (1171000000),"29,020","29,248","29,277","29,461","29,158","29,063","28,941","28,063","27,202","26,549","25,346","24,527","21,984","20,263","18,972","17,488"
서울특별시 강동구 (1174000000),"19,156","20,674","21,131","21,778","21,086","20,379","19,916","18,314","16,946","16,120","14,818","14,581","15,301","14,678","13,887","12,920"
