군구별(1),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),,
군구별(1),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
합계,2665,2686,2728,2762,2778,2815,2824,2847,2789,2832,2843,2849,2826,2827,2848,2881
강화군,164,164,165,164,164,164,165,166,167,169,169,170,170,171,172,170
옹진군,102,107,110,114,117,121,121,123,125,126,123,120,120,119,121,120
중구,770,772,787,793,779,850,872,890,852,869,902,994,1023,1051,1119,1166
동구,10413,10917,11236,11098,10817,10591,10431,10227,10002,9790,9341,9091,8805,8658,8318,8339
미추홀구,16931,17161,17325,17102,16956,16830,16724,16594,17104,17221,17135,16853,16636,16769,16771,16809
연수구,7968,6423,6619,6402,6506,6689,6449,6639,6853,6265,6503,6910,7116,7156,7120,7090
남동구,7915,8352,8521,8906,9024,9100,9245,9537,9522,9619,9635,9560,9346,9211,9007,8783
부평구,17794,17871,17982,17791,17712,17666,17696,17687,17520,17250,16812,16436,15903,15642,15732,15922
계양구,7513,7621,7701,7622,7572,7609,7519,7405,7315,7173,6932,6733,6581,6557,6410,6229
서구,3465,3569,3677,3918,4208,4390,4428,4483,3813,4516,4709,4761,4723,4782,5049,5364
